Name	Start	Duration	Time Format	Type	Description
ל-למה	0:00.241	0:00.000	decimal	Cue	
אתה	0:00.716	0:00.000	decimal	Cue	
מגמגם?	0:01.004	0:00.000	decimal	Cue	
silence	0:01.822	0:00.000	decimal	Cue	
אה---ה	0:03.823	0:00.000	decimal	Cue	
silence	0:04.548	0:00.000	decimal	Cue	
זה	0:06.930	0:00.000	decimal	Cue	
בגנים	0:07.120	0:00.000	decimal	Cue	
אצלנו	0:07.763	0:00.000	decimal	Cue	
אבא	0:09.165	0:00.000	decimal	Cue	
שלי	0:09.461	0:00.000	decimal	Cue	
ה---האחים	0:11.427	0:00.000	decimal	Cue	
שלו	0:12.170	0:00.000	decimal	Cue	
וסבא	0:14.103	0:00.000	decimal	Cue	
שלי	0:14.602	0:00.000	decimal	Cue	
אז אה	0:14.981	0:00.000	decimal	Cue	
אני	0:16.229	0:00.000	decimal	Cue	
גם	0:16.511	0:00.000	decimal	Cue	
פשוט	0:17.184	0:00.000	decimal	Cue	
ככה	0:18.099	0:00.000	decimal	Cue	
זה	0:18.339	0:00.000	decimal	Cue	
בא לי	0:18.408	0:00.000	decimal	Cue	
אז	0:18.973	0:00.000	decimal	Cue	
מאז	0:19.349	0:00.000	decimal	Cue	
שאני	0:19.571	0:00.000	decimal	Cue	
זוווכר	0:20.376	0:00.000	decimal	Cue	
את	0:21.102	0:00.000	decimal	Cue	
עצמי	0:21.275	0:00.000	decimal	Cue	
אז	0:21.580	0:00.000	decimal	Cue	
אני	0:21.769	0:00.000	decimal	Cue	
מג---	0:22.019	0:00.000	decimal	Cue	
-מגם	0:22.592	0:00.000	decimal	Cue	
אני	0:23.343	0:00.000	decimal	Cue	
מגמגם	0:24.040	0:00.000	decimal	Cue	
מגיל	0:24.681	0:00.000	decimal	Cue	
שלוש	0:25.463	0:00.000	decimal	Cue	
מה	0:25.913	0:00.000	decimal	Cue	
שכ---	0:26.225	0:00.000	decimal	Cue	
-כן	0:27.190	0:00.000	decimal	Cue	
אני	0:27.313	0:00.000	decimal	Cue	
ייייודע	0:28.080	0:00.000	decimal	Cue	
שמא---	0:28.559	0:00.000	decimal	Cue	
-אז	0:30.056	0:00.000	decimal	Cue	
ומע---עולם	0:30.268	0:00.000	decimal	Cue	
אני	0:31.209	0:00.000	decimal	Cue	
שא-אלתי	0:31.449	0:00.000	decimal	Cue	
א---את	0:32.163	0:00.000	decimal	Cue	
עצמי	0:32.836	0:00.000	decimal	Cue	
ל---	0:33.559	0:00.000	decimal	Cue	
-למה	0:34.309	0:00.000	decimal	Cue	
דווקא	0:35.032	0:00.000	decimal	Cue	
א-	0:35.681	0:00.000	decimal	Cue	
א-	0:35.861	0:00.000	decimal	Cue	
א-	0:36.602	0:00.000	decimal	Cue	
אני	0:37.222	0:00.000	decimal	Cue	
silence	0:37.700	0:00.000	decimal	Cue	
יש	0:38.398	0:00.000	decimal	Cue	
ת-	0:38.872	0:00.000	decimal	Cue	
ת-	0:39.298	0:00.000	decimal	Cue	
ת--תאוריות	0:39.611	0:00.000	decimal	Cue	
של	0:40.298	0:00.000	decimal	Cue	
שילוב	0:41.051	0:00.000	decimal	Cue	
של	0:41.766	0:00.000	decimal	Cue	
א--אמ	0:42.152	0:00.000	decimal	Cue	
ח--חרדה	0:43.197	0:00.000	decimal	Cue	
ח-	0:43.680	0:00.000	decimal	Cue	
ח-	0:43.786	0:00.000	decimal	Cue	
ח-	0:43.895	0:00.000	decimal	Cue	
ח-	0:44.037	0:00.000	decimal	Cue	
ח-	0:44.173	0:00.000	decimal	Cue	
חברתית	0:44.366	0:00.000	decimal	Cue	
ובעיות	0:45.001	0:00.000	decimal	Cue	
נשימה	0:45.688	0:00.000	decimal	Cue	
אבל	0:47.099	0:00.000	decimal	Cue	
אני	0:47.733	0:00.000	decimal	Cue	
לא	0:48.002	0:00.000	decimal	Cue	
באמת	0:48.134	0:00.000	decimal	Cue	
יודע	0:48.369	0:00.000	decimal	Cue	
אני	0:48.750	0:00.000	decimal	Cue	
מגמגם	0:48.910	0:00.000	decimal	Cue	
כי	0:49.574	0:00.000	decimal	Cue	
ככה	0:50.246	0:00.000	decimal	Cue	
עד	0:50.809	0:00.000	decimal	Cue	
כיתה	0:51.004	0:00.000	decimal	Cue	
גימ-	0:51.610	0:00.000	decimal	Cue	
ג--גי-	0:52.062	0:00.000	decimal	Cue	
גימל	0:52.572	0:00.000	decimal	Cue	
בעצם	0:52.921	0:00.000	decimal	Cue	
דיברתי	0:53.342	0:00.000	decimal	Cue	
רגיל	0:54.117	0:00.000	decimal	Cue	
כמו	0:54.624	0:00.000	decimal	Cue	
כל	0:55.016	0:00.000	decimal	Cue	
בנאדם	0:55.242	0:00.000	decimal	Cue	
כשהייתי	0:55.878	0:00.000	decimal	Cue	
בכיתה	0:56.283	0:00.000	decimal	Cue	
גימל	0:56.797	0:00.000	decimal	Cue	
עברתי	0:57.536	0:00.000	decimal	Cue	
כל-	0:57.935	0:00.000	decimal	Cue	
כל	0:58.542	0:00.000	decimal	Cue	
השנה	0:58.905	0:00.000	decimal	Cue	
ח---חרם	0:59.142	0:00.000	decimal	Cue	
ואז	1:00.161	0:00.000	decimal	Cue	
בעצם	1:00.427	0:00.000	decimal	Cue	
